Wifi_A,Wifi_A_5G,Wifi_C,Wifi_B,Wifi_B_5G,Wifi_C_5G,Wifi_D,Wifi_D_5G
0.68,0.44,0.0,0.87,1.0,0.9,0.72,0.0
0.89,0.32,0.36,0.73,0.57,0.7,0.67,0.46
0.92,0.28,0.27,0.73,0.57,0.7,0.11,0.62
0.89,0.2,0.45,0.67,0.51,0.73,0.22,0.69
0.82,0.4,0.55,0.8,0.69,0.87,0.56,0.77
0.89,0.04,0.91,0.53,0.49,0.37,0.83,0.54
0.89,0.28,0.45,0.6,0.6,0.93,0.61,0.54
0.95,0.36,0.55,0.73,0.57,0.73,0.78,0.46
0.84,0.4,0.55,0.6,0.57,0.53,0.67,0.54
0.89,0.32,0.36,0.67,0.57,0.7,0.78,0.54
0.87,0.52,0.64,0.53,0.6,0.9,0.78,0.92
0.87,0.48,0.64,0.73,0.74,0.7,0.39,0.77
0.89,0.56,0.27,0.53,0.6,0.87,0.67,0.62
0.89,0.16,0.45,0.67,0.66,0.7,0.72,0.38
0.82,0.64,0.82,0.2,0.57,0.83,0.72,0.92
0.89,0.56,0.45,0.67,0.54,0.9,0.67,0.92
0.87,0.48,0.45,0.73,0.69,0.77,0.72,0.62
0.89,0.56,0.45,0.47,0.6,0.9,0.61,0.85
0.89,0.36,0.55,0.8,0.6,0.73,0.44,0.54
0.95,0.32,0.09,0.73,0.57,0.63,0.56,0.54
0.84,0.08,0.45,0.33,0.54,0.57,0.83,0.46
0.92,0.56,0.55,0.47,0.63,0.93,0.61,0.92
0.82,0.32,0.27,0.67,0.57,0.73,0.72,0.46
0.84,0.28,0.45,0.8,0.49,0.8,0.72,0.62
0.95,0.6,0.45,0.53,0.54,0.93,0.61,0.92
0.92,0.32,0.45,0.73,0.69,0.67,0.78,0.62
0.89,0.12,0.27,0.6,0.57,0.5,0.78,0.62
0.92,0.36,0.36,0.67,0.54,0.73,0.67,0.54
0.84,0.08,0.82,0.87,0.6,0.87,0.78,0.54
0.84,0.36,0.36,0.6,0.57,0.73,0.61,0.46
0.89,0.6,0.45,0.47,0.6,0.87,0.67,0.92
0.0,0.28,0.27,0.73,0.69,0.53,0.61,0.92
0.89,0.36,0.45,0.87,0.57,0.73,0.72,0.69
0.95,0.32,0.36,0.67,0.54,0.73,0.56,0.46
0.87,0.28,0.36,0.73,0.57,0.73,0.56,0.46
0.84,0.56,0.55,0.53,0.57,0.9,0.61,1.0
0.84,0.28,0.09,0.6,0.63,0.37,0.89,0.85
0.92,0.52,0.73,0.0,0.69,1.0,0.5,0.85
0.89,0.28,0.27,0.67,0.57,0.77,0.56,0.62
0.84,0.6,0.64,0.27,0.63,0.97,0.78,0.92
0.97,0.48,0.55,0.67,0.71,0.87,0.83,0.46
0.89,0.12,0.45,0.73,0.6,0.9,0.67,0.69
0.87,0.52,0.55,0.47,0.57,0.87,0.56,1.0
0.89,0.52,0.73,0.47,0.54,0.9,0.78,1.0
0.95,0.36,0.36,0.73,0.57,0.8,0.17,0.46
0.89,0.32,1.0,0.8,0.57,0.73,0.78,0.46
0.89,0.28,0.36,0.6,0.46,0.8,0.78,0.38
0.89,0.44,0.36,0.93,0.69,0.73,0.78,0.62
0.95,0.56,0.45,0.4,0.6,0.93,0.67,0.92
0.89,0.48,0.45,0.53,0.51,0.93,0.72,0.77
0.87,0.56,0.64,0.53,0.63,0.9,0.67,0.85
0.89,0.56,0.55,0.53,0.51,0.87,0.67,0.85
0.89,0.44,0.82,0.87,0.69,0.7,0.56,0.69
0.89,0.36,0.36,0.73,0.6,0.77,0.56,0.46
0.84,0.12,0.45,0.53,0.6,0.83,0.89,0.77
0.92,0.28,0.0,0.67,0.71,0.97,0.39,0.46
0.89,0.12,0.91,0.8,0.69,0.83,0.72,0.46
0.87,0.32,0.36,0.73,0.54,0.73,0.78,0.54
0.92,0.2,0.82,0.8,0.6,0.7,0.61,0.62
0.92,0.28,0.36,0.8,0.6,0.73,0.67,0.46
0.89,0.28,0.64,0.67,0.54,0.77,0.83,0.62
0.87,0.56,0.73,0.53,0.63,0.87,0.67,0.92
0.87,0.36,0.36,0.6,0.54,0.73,0.78,0.46
0.89,0.56,0.55,0.47,0.57,0.9,0.67,0.92
0.87,0.4,0.18,0.8,0.63,0.83,0.56,0.54
0.95,0.32,0.55,0.67,0.57,0.73,0.89,0.62
0.89,0.24,0.64,0.67,0.6,0.6,0.72,0.54
0.92,0.4,0.36,0.67,0.57,0.8,0.67,0.54
0.87,0.36,0.36,0.67,0.57,0.7,0.61,0.46
0.89,0.28,0.36,0.67,0.54,0.67,0.67,0.46
0.87,0.4,0.27,0.6,0.63,0.83,0.67,0.31
0.87,0.52,0.55,0.47,0.6,0.87,0.72,1.0
0.71,1.0,0.82,0.33,0.23,0.7,0.83,0.62
0.89,0.68,0.64,0.33,0.6,0.93,0.72,0.31
0.89,0.56,0.82,0.47,0.63,0.93,0.78,0.92
0.89,0.36,0.36,0.67,0.57,0.0,0.78,0.46
0.89,0.4,0.36,0.8,0.6,0.87,0.78,0.46
0.89,0.2,0.55,0.67,0.66,0.8,0.78,0.0
0.92,0.36,0.09,1.0,0.34,0.43,0.44,0.46
0.95,0.56,0.55,0.47,0.63,0.9,0.78,0.92
0.79,0.48,0.18,0.27,0.66,0.93,0.72,0.92
0.87,0.56,0.73,0.47,0.63,0.93,0.61,1.0
0.82,0.56,0.55,0.47,0.54,0.9,0.67,0.92
0.89,0.56,0.45,0.47,0.57,0.9,0.61,0.85
0.84,0.56,0.45,0.4,0.6,0.9,0.72,0.92
0.89,0.52,0.73,0.53,0.6,0.9,0.67,0.92
0.87,0.32,0.73,0.6,0.6,0.73,0.56,0.38
0.92,0.56,0.55,0.4,0.57,0.9,0.72,0.85
0.84,0.2,0.82,0.67,0.63,0.83,0.67,0.54
0.87,0.48,0.55,0.53,0.57,0.97,0.78,0.92
0.84,0.56,0.45,0.47,0.6,0.9,0.78,0.69
1.0,0.52,0.73,0.47,0.6,0.93,0.67,0.92
0.84,0.52,0.64,0.47,0.6,0.97,0.61,0.85
0.63,0.72,0.0,0.67,0.17,0.87,0.78,0.69
0.97,0.36,0.36,0.4,0.57,0.77,0.78,0.62
0.89,0.36,0.27,0.73,0.54,0.73,0.67,0.46
0.92,0.32,0.27,0.8,0.63,0.5,0.67,0.38
0.84,0.4,0.36,0.87,0.6,0.97,0.89,0.92
0.89,0.36,0.36,0.73,0.57,0.77,0.78,0.46
0.84,0.52,0.73,0.47,0.57,0.93,0.83,0.77
0.92,0.52,0.36,0.33,0.54,1.0,0.61,0.92
0.87,0.0,0.0,0.73,0.54,0.7,0.67,0.69
0.87,0.24,0.0,0.6,0.69,0.57,0.5,0.62
0.82,0.52,0.45,0.4,0.6,0.9,0.67,0.92
0.87,0.52,0.73,0.73,0.63,0.87,0.61,0.62
0.89,0.6,0.55,0.53,0.6,0.9,0.83,0.92
0.89,0.36,0.55,0.67,0.57,0.73,0.61,0.46
0.89,0.2,0.64,0.67,0.57,0.87,0.89,0.46
0.95,0.32,0.18,0.6,0.66,0.93,0.67,0.77
0.92,0.44,0.27,0.73,0.46,0.8,0.78,0.62
0.89,0.2,0.82,0.6,0.63,0.6,0.83,0.62
0.87,0.44,0.27,0.53,0.69,0.7,0.78,0.77
0.89,0.28,0.27,0.67,0.54,0.73,0.72,0.46
0.87,0.36,0.36,0.6,0.54,0.8,0.61,0.46
0.82,0.28,0.27,0.67,0.63,0.07,0.78,0.38
0.89,0.32,0.36,0.67,0.57,0.73,0.72,0.46
