TimeStampMillis,TimeStampFormatted,Wifi_B,Wifi_B_5G,Wifi_D,Wifi_C_5G,Wifi_D_5G,Wifi_C,Wifi_A_5G,Wifi_A
"1,69148E+12",(08/08/2023)_14/09/22,0.63,0.08,0.4,0.58,0.2,0.35,0.54,1.0
"1,69148E+12",(08/08/2023)_14/09/16,0.63,0.08,0.4,0.67,0.5,0.53,0.54,0.89
"1,69148E+12",(08/08/2023)_14/05/56,0.47,0.46,0.5,0.5,0.6,0.12,0.31,0.78
"1,69148E+12",(08/08/2023)_14/08/30,0.58,0.15,0.1,0.58,0.2,0.65,0.54,0.78
"1,69148E+12",(08/08/2023)_14/10/36,0.63,0.15,0.5,0.58,0.6,0.18,0.31,0.56
"1,69148E+12",(08/08/2023)_14/06/35,0.63,0.08,0.4,0.58,0.2,0.53,0.54,0.89
"1,69148E+12",(08/08/2023)_14/05/57,0.68,0.38,1.0,0.75,0.4,0.12,0.46,0.78
"1,69148E+12",(08/08/2023)_14/07/58,0.68,0.08,0.3,0.67,0.2,0.53,0.54,0.78
"1,69148E+12",(08/08/2023)_14/08/08,0.63,0.08,0.3,0.58,0.2,0.59,0.54,0.78
"1,69148E+12",(08/08/2023)_14/07/36,0.58,0.0,0.3,0.67,0.2,0.59,0.62,0.78
"1,69148E+12",(08/08/2023)_14/05/51,0.42,0.23,0.3,0.58,0.7,0.76,0.38,0.89
"1,69148E+12",(08/08/2023)_14/10/14,0.79,0.31,0.5,0.58,0.8,0.65,0.54,0.78
"1,69148E+12",(08/08/2023)_14/10/36,0.63,0.15,0.5,0.58,0.6,0.18,0.31,0.56
"1,69148E+12",(08/08/2023)_14/08/18,0.63,0.08,0.2,0.58,0.2,0.53,0.46,0.89
"1,69148E+12",(08/08/2023)_14/07/45,0.58,0.08,0.3,0.58,0.3,0.59,0.54,0.78
"1,69148E+12",(08/08/2023)_14/06/32,0.58,0.31,0.4,0.67,0.3,0.53,0.46,0.78
"1,69148E+12",(08/08/2023)_14/08/32,0.63,0.15,0.3,0.58,0.2,0.59,0.54,0.78
"1,69148E+12",(08/08/2023)_14/10/06,0.68,0.62,0.3,0.67,0.6,1.0,0.62,0.56
"1,69148E+12",(08/08/2023)_14/08/32,0.63,0.15,0.3,0.58,0.2,0.59,0.54,0.78
"1,69148E+12",(08/08/2023)_14/09/34,0.95,0.92,0.5,0.83,0.5,1.0,0.46,0.78
"1,69148E+12",(08/08/2023)_14/09/42,0.0,0.62,0.4,0.58,0.6,0.76,0.38,0.89
"1,69148E+12",(08/08/2023)_14/10/38,0.58,0.31,0.6,0.58,0.4,0.59,0.15,0.78
"1,69148E+12",(08/08/2023)_14/10/26,0.68,0.15,0.4,0.58,0.4,0.65,0.38,0.89
"1,69148E+12",(08/08/2023)_14/06/09,0.79,0.38,0.3,0.92,1.0,0.35,0.08,0.89
"1,69148E+12",(08/08/2023)_14/07/30,0.63,0.08,0.4,0.67,0.3,0.53,0.54,0.78
"1,69148E+12",(08/08/2023)_14/10/46,0.95,0.69,0.6,0.75,0.4,0.41,0.31,0.56
"1,69148E+12",(08/08/2023)_14/09/22,0.63,0.08,0.4,0.58,0.2,0.35,0.54,1.0
"1,69148E+12",(08/08/2023)_14/07/08,0.63,0.08,0.4,0.58,0.3,0.53,0.54,0.78
"1,69148E+12",(08/08/2023)_14/06/53,0.68,0.08,0.4,0.67,0.2,0.47,0.54,0.78
"1,69148E+12",(08/08/2023)_14/07/30,0.63,0.08,0.4,0.67,0.3,0.53,0.54,0.78
"1,69148E+12",(08/08/2023)_14/06/15,0.58,0.08,0.4,0.75,0.3,0.71,0.62,0.0
"1,69148E+12",(08/08/2023)_14/07/48,0.68,0.08,0.2,0.67,0.2,0.59,0.54,0.89
"1,69148E+12",(08/08/2023)_14/08/24,0.63,0.08,0.3,0.58,0.2,0.53,0.54,0.89
"1,69148E+12",(08/08/2023)_14/07/37,0.63,0.08,0.3,0.58,0.4,0.53,0.54,0.67
"1,69148E+12",(08/08/2023)_14/07/14,0.63,0.08,0.3,0.58,0.2,0.53,0.54,0.78
"1,69148E+12",(08/08/2023)_14/09/54,0.47,0.62,0.8,0.42,0.7,0.76,0.23,1.0
"1,69148E+12",(08/08/2023)_14/09/32,1.0,0.54,0.6,0.67,0.4,0.82,0.23,0.56
"1,69148E+12",(08/08/2023)_14/06/07,0.37,0.46,0.3,0.58,0.7,0.76,0.31,0.78
"1,69148E+12",(08/08/2023)_14/10/52,0.89,0.38,0.3,0.0,0.4,0.41,0.08,0.56
"1,69148E+12",(08/08/2023)_14/08/38,0.63,0.15,0.2,0.58,0.3,0.59,0.54,0.78
"1,69148E+12",(08/08/2023)_14/08/24,0.63,0.08,0.3,0.58,0.2,0.53,0.54,0.89
"1,69148E+12",(08/08/2023)_14/08/02,0.58,0.08,0.2,0.67,0.2,0.53,0.54,0.89
"1,69148E+12",(08/08/2023)_14/10/08,0.68,0.54,0.5,0.5,0.6,0.59,0.46,0.89
"1,69148E+12",(08/08/2023)_14/06/23,0.63,0.23,0.6,0.58,0.3,0.59,0.54,0.89
"1,69148E+12",(08/08/2023)_14/09/42,0.0,0.62,0.4,0.58,0.6,0.76,0.38,0.89
"1,69148E+12",(08/08/2023)_14/06/50,0.74,0.08,0.4,0.58,0.2,0.41,0.69,0.89
"1,69148E+12",(08/08/2023)_14/06/59,0.58,0.08,0.4,0.58,0.2,0.53,0.46,0.67
"1,69148E+12",(08/08/2023)_14/05/57,0.68,0.38,1.0,0.75,0.4,0.12,0.46,0.78
"1,69148E+12",(08/08/2023)_14/10/52,0.89,0.38,0.3,0.0,0.4,0.41,0.08,0.56
"1,69148E+12",(08/08/2023)_14/06/33,0.63,0.23,0.8,0.58,0.3,0.53,0.54,0.78
"1,69148E+12",(08/08/2023)_14/09/58,0.89,0.69,0.4,0.58,0.4,0.41,0.85,1.0
"1,69148E+12",(08/08/2023)_14/06/07,0.37,0.46,0.3,0.58,0.7,0.76,0.31,0.78
"1,69148E+12",(08/08/2023)_14/09/56,0.0,0.46,0.0,0.75,0.1,0.59,0.15,0.44
"1,69148E+12",(08/08/2023)_14/08/18,0.63,0.08,0.2,0.58,0.2,0.53,0.46,0.89
"1,69148E+12",(08/08/2023)_14/10/32,0.63,0.15,0.2,0.33,0.5,0.24,0.23,0.56
"1,69148E+12",(08/08/2023)_14/07/24,0.63,0.08,0.3,0.58,0.3,0.47,0.54,0.89
"1,69148E+12",(08/08/2023)_14/10/32,0.63,0.15,0.2,0.33,0.5,0.24,0.23,0.56
"1,69148E+12",(08/08/2023)_14/08/10,0.63,0.08,0.3,0.67,0.3,0.53,0.54,0.89
"1,69148E+12",(08/08/2023)_14/06/29,0.63,0.15,0.5,0.67,0.3,0.53,0.54,0.89
"1,69148E+12",(08/08/2023)_14/08/54,0.63,0.08,0.2,0.67,0.3,0.47,0.54,0.89
"1,69148E+12",(08/08/2023)_14/08/30,0.58,0.15,0.1,0.58,0.2,0.65,0.54,0.78
"1,69148E+12",(08/08/2023)_14/10/50,0.47,0.38,0.7,0.75,0.7,0.71,0.31,0.67
"1,69148E+12",(08/08/2023)_14/07/36,0.58,0.0,0.3,0.67,0.2,0.59,0.62,0.78
"1,69148E+12",(08/08/2023)_14/06/43,0.68,0.08,0.3,0.67,0.3,0.59,0.62,0.78
"1,69148E+12",(08/08/2023)_14/08/00,0.63,0.08,0.2,0.67,0.3,0.53,0.46,0.78
"1,69148E+12",(08/08/2023)_14/07/44,0.63,0.08,0.2,0.58,0.2,0.59,0.46,0.78
"1,69148E+12",(08/08/2023)_14/09/06,0.58,0.08,0.3,0.58,0.2,0.47,0.54,0.89
"1,69148E+12",(08/08/2023)_14/10/30,0.58,0.23,0.5,0.33,0.8,0.82,0.23,0.56
"1,69148E+12",(08/08/2023)_14/10/22,0.47,0.23,0.4,0.42,0.7,0.47,0.62,0.67
"1,69148E+12",(08/08/2023)_14/09/38,0.32,0.15,1.0,0.75,0.6,0.06,0.54,0.89
"1,69148E+12",(08/08/2023)_14/10/28,0.58,0.31,0.5,1.0,0.7,0.76,0.46,0.89
"1,69148E+12",(08/08/2023)_14/09/52,0.32,1.0,0.4,0.5,0.5,0.59,0.77,0.78
"1,69148E+12",(08/08/2023)_14/09/34,0.95,0.92,0.5,0.83,0.5,1.0,0.46,0.78
"1,69148E+12",(08/08/2023)_14/07/34,0.58,0.08,0.4,0.58,0.1,0.53,0.54,0.89
"1,69148E+12",(08/08/2023)_14/09/56,0.0,0.46,0.0,0.75,0.1,0.59,0.15,0.44
"1,69148E+12",(08/08/2023)_14/06/05,0.58,0.46,0.1,0.67,1.0,0.29,0.31,0.78
"1,69148E+12",(08/08/2023)_14/09/30,0.95,0.0,0.4,0.75,0.5,0.53,0.77,0.78
"1,69148E+12",(08/08/2023)_14/10/08,0.68,0.54,0.5,0.5,0.6,0.59,0.46,0.89
"1,69148E+12",(08/08/2023)_14/06/26,0.58,0.08,0.4,0.58,0.3,0.53,0.54,0.89
"1,69148E+12",(08/08/2023)_14/07/50,0.68,0.08,0.1,0.58,0.3,0.53,0.54,0.89
"1,69148E+12",(08/08/2023)_14/07/50,0.68,0.08,0.1,0.58,0.3,0.53,0.54,0.89
"1,69148E+12",(08/08/2023)_14/09/32,1.0,0.54,0.6,0.67,0.4,0.82,0.23,0.56
"1,69148E+12",(08/08/2023)_14/09/40,0.26,0.77,0.3,0.75,0.5,0.65,0.54,0.67
"1,69148E+12",(08/08/2023)_14/10/32,0.63,0.15,0.2,0.33,0.5,0.24,0.23,0.56
"1,69148E+12",(08/08/2023)_14/06/09,0.79,0.38,0.3,0.92,1.0,0.35,0.08,0.89
"1,69148E+12",(08/08/2023)_14/09/54,0.47,0.62,0.8,0.42,0.7,0.76,0.23,1.0
"1,69148E+12",(08/08/2023)_14/10/14,0.79,0.31,0.5,0.58,0.8,0.65,0.54,0.78
"1,69148E+12",(08/08/2023)_14/07/09,0.58,0.08,0.4,0.67,0.3,0.53,0.54,0.67
"1,69148E+12",(08/08/2023)_14/07/48,0.68,0.08,0.2,0.67,0.2,0.59,0.54,0.89
"1,69148E+12",(08/08/2023)_14/07/11,0.58,0.08,0.2,0.67,0.2,0.53,0.54,0.67
"1,69148E+12",(08/08/2023)_14/08/20,0.58,0.08,0.2,0.58,0.2,0.47,0.54,0.78
"1,69148E+12",(08/08/2023)_14/10/34,0.58,0.38,0.3,0.5,0.3,0.0,0.31,0.78
"1,69148E+12",(08/08/2023)_14/10/00,0.95,0.08,0.9,0.5,0.9,0.12,1.0,0.78
"1,69148E+12",(08/08/2023)_14/08/10,0.63,0.08,0.3,0.67,0.3,0.53,0.54,0.89
"1,69148E+12",(08/08/2023)_14/10/16,0.74,0.38,0.4,0.67,0.8,0.71,0.46,0.78
"1,69148E+12",(08/08/2023)_14/10/26,0.68,0.15,0.4,0.58,0.4,0.65,0.38,0.89
"1,69148E+12",(08/08/2023)_14/09/44,0.63,0.54,0.5,0.92,0.7,0.29,0.31,0.67
"1,69148E+12",(08/08/2023)_14/06/41,0.63,0.23,0.3,0.67,0.2,0.53,0.46,0.78
"1,69148E+12",(08/08/2023)_14/09/46,0.89,0.46,0.8,0.67,0.5,0.53,0.54,0.44
"1,69148E+12",(08/08/2023)_14/09/16,0.63,0.08,0.4,0.67,0.5,0.53,0.54,0.89
"1,69148E+12",(08/08/2023)_14/06/11,0.74,0.31,0.4,0.83,1.0,0.41,0.0,0.78
"1,69148E+12",(08/08/2023)_14/10/22,0.47,0.23,0.4,0.42,0.7,0.47,0.62,0.67
"1,69148E+12",(08/08/2023)_14/09/12,0.63,0.15,0.2,0.67,0.3,0.53,0.46,0.89
"1,69148E+12",(08/08/2023)_14/09/26,0.63,0.08,0.1,1.0,0.3,0.76,0.31,0.78
"1,69148E+12",(08/08/2023)_14/10/28,0.58,0.31,0.5,1.0,0.7,0.76,0.46,0.89
"1,69148E+12",(08/08/2023)_14/09/38,0.32,0.15,1.0,0.75,0.6,0.06,0.54,0.89
"1,69148E+12",(08/08/2023)_14/09/20,0.63,0.31,0.4,0.58,0.3,0.53,0.62,0.89
"1,69148E+12",(08/08/2023)_14/07/14,0.63,0.08,0.3,0.58,0.2,0.53,0.54,0.78
"1,69148E+12",(08/08/2023)_14/10/36,0.63,0.15,0.5,0.58,0.6,0.18,0.31,0.56
"1,69148E+12",(08/08/2023)_14/10/24,0.58,0.31,0.4,0.58,0.1,0.76,0.92,0.67
