TimeStampMillis;TimeStampFormatted;Wifi_D_5G;Wifi_D;Wifi_C_5G;Wifi_B_5G;Wifi_B;Wifi_C;Wifi_A_5G
1691472281888;(08/08/2023)_12/24/41;-51;-43;-44;-28;-29;-42;-50
1691472283929;(08/08/2023)_12/24/43;-50;-44;-42;-28;-28;-44;-47
1691472285920;(08/08/2023)_12/24/45;-50;-40;-43;-28;-28;-44;-50
1691472287814;(08/08/2023)_12/24/47;-50;-43;-43;-28;-28;-43;-48
1691472289886;(08/08/2023)_12/24/49;-51;-44;-44;-28;-28;-43;-49
1691472291906;(08/08/2023)_12/24/51;-51;-44;-43;-28;-27;-44;-49
1691472293864;(08/08/2023)_12/24/53;-50;-45;-43;-28;-28;-44;-50
1691472295793;(08/08/2023)_12/24/55;-51;-44;-43;-29;-28;-43;-48
1691472297872;(08/08/2023)_12/24/57;-51;-44;-43;-28;-28;-49;-49
1691472300008;(08/08/2023)_12/25/00;-51;-43;-44;-28;-28;-43;-49
1691472301954;(08/08/2023)_12/25/01;-50;-45;-43;-27;-28;-43;-50
1691472305923;(08/08/2023)_12/25/05;-50;-44;-43;-28;-29;-44;-48
1691472307908;(08/08/2023)_12/25/07;-50;-45;-43;-29;-28;-43;-48
1691472309874;(08/08/2023)_12/25/09;-50;-45;-44;-28;-29;-44;-50
1691472311897;(08/08/2023)_12/25/11;-51;-45;-43;-28;-29;-43;-49
1691472313832;(08/08/2023)_12/25/13;-50;-43;-43;-28;-28;-42;-50
1691472315963;(08/08/2023)_12/25/15;-51;-43;-43;-28;-29;-43;-51
1691472319970;(08/08/2023)_12/25/19;-51;-44;-44;-28;-29;-44;-48
1691472321918;(08/08/2023)_12/25/21;-50;-44;-44;-28;-28;-43;-49
1691472323843;(08/08/2023)_12/25/23;-50;-43;-43;-28;-28;-41;-49
1691472325923;(08/08/2023)_12/25/25;-49;-44;-43;-28;-27;-44;-50
1691472327861;(08/08/2023)_12/25/27;-49;-43;-43;-29;-28;-41;-50
1691472329936;(08/08/2023)_12/25/29;-49;-43;-44;-28;-28;-43;-51
1691472333920;(08/08/2023)_12/25/33;-50;-43;-43;-28;-28;-43;-50
1691472337913;(08/08/2023)_12/25/37;-50;-45;-43;-28;-28;-42;-50
1691472339936;(08/08/2023)_12/25/39;-50;-44;-44;-29;-29;-42;-47
1691472341989;(08/08/2023)_12/25/41;-49;-44;-43;-28;-28;-43;-48
1691472343961;(08/08/2023)_12/25/43;-50;-45;-43;-28;-29;-44;-51
1691472345986;(08/08/2023)_12/25/45;-49;-44;-43;-28;-28;-42;-50
1691472347931;(08/08/2023)_12/25/47;-50;-44;-43;-29;-28;-43;-51
1691472349981;(08/08/2023)_12/25/49;-49;-45;-44;-29;-29;-44;-48
1691472353983;(08/08/2023)_12/25/53;-50;-44;-43;-28;-28;-43;-50
1691472355938;(08/08/2023)_12/25/55;-50;-44;-43;-29;-29;-42;-49
1691472357999;(08/08/2023)_12/25/57;-50;-45;-43;-28;-28;-44;-49
1691472359932;(08/08/2023)_12/25/59;-50;-44;-43;-28;-29;-44;-50
1691472361966;(08/08/2023)_12/26/01;-50;-44;-43;-28;-27;-44;-48
1691472368010;(08/08/2023)_12/26/08;-50;-44;-43;-28;-28;-42;-49
1691472369970;(08/08/2023)_12/26/09;-52;-45;-43;-28;-28;-44;-51
1691472372008;(08/08/2023)_12/26/12;-50;-44;-43;-28;-28;-43;-47
1691472375998;(08/08/2023)_12/26/15;-50;-44;-42;-28;-29;-44;-47
1691472379990;(08/08/2023)_12/26/19;-49;-44;-46;-28;-28;-43;-50
1691472382016;(08/08/2023)_12/26/22;-50;-46;-43;-28;-29;-45;-52
1691472384071;(08/08/2023)_12/26/24;-48;-42;-44;-29;-27;-43;-45
1691472386091;(08/08/2023)_12/26/26;-48;-46;-43;-27;-28;-42;-47
1691472387973;(08/08/2023)_12/26/27;-48;-42;-44;-27;-27;-45;-49
1691472390038;(08/08/2023)_12/26/30;-47;-45;-44;-28;-29;-44;-48
1691472392065;(08/08/2023)_12/26/32;-48;-45;-45;-27;-28;-44;-48
